# 23 directories
# dir   1  /btl
# dir   2  /btl/char
# dir   3  /btl/common
# dir   4  /btl/cut_in
# dir   5  /btl/debug
# dir   6  /btl/eff
# dir   7  /btl/magic
# dir   8  /btl/map
# dir   9  /btl/prm
# dir  10  /fc
# dir  11  /item
# dir  12  /item/icon
# dir  13  /m
# dir  14  /m/misc
# dir  15  /m/misc/2D
# dir  16  /m/misc/etc
# dir  17  /menu
# dir  18  /menu/monsterbook
# dir  19  /menu/spirlink
# dir  20  /movie
# dir  21  /s
# dir  22  /s/lvd
# dir  23  /title
# fat_id	start	end	size	path
31	1732608	1739052	6444	/TODS3_BtlMemoData.dat
32	1739264	1741619	2355	/TODS3_CureStoneData.dat
33	1741824	1742792	968	/TODS3_LinkCounterData.dat
34	1742848	1780515	37667	/TODS3_OutLineData.dat
35	1780736	1781048	312	/TODS3_PlayerData.dat
36	1781248	1819332	38084	/TODS3_SormaBuildData.dat
37	1819648	1854811	35163	/TODS3_SormaSkillData.dat
38	1854976	1863652	8676	/TODS3_SpirLinkData.dat
39	1863680	1873516	9836	/TODS3_SpirLinkTreasureData.dat
40	1873920	1875336	1416	/TODS3_StrategyData.dat
41	1875456	1906850	31394	/TODS3_TitleData.dat
42	249644544	249705260	60716	/trialFont10.NFTR
43	249705472	249785996	80524	/trialFont12.NFTR
44	249786368	249787044	676	/trialFont8.NFTR
45	1907200	1950832	43632	/btl/char/char.b
46	1951232	17193604	15242372	/btl/char/char.dat
47	17193984	17233380	39396	/btl/common/common.cbb
48	17233408	17246214	12806	/btl/common/common.ds3
49	17246720	17251574	4854	/btl/common/face_LZ.bin
50	17251840	17252308	468	/btl/common/shadow.ds3
51	17252352	17252952	600	/btl/cut_in/cut_in.b
52	17253376	17310192	56816	/btl/cut_in/cut_in.dat
53	17310208	17317364	7156	/btl/debug/debug.b
54	17317376	17401848	84472	/btl/debug/debug.dat
55	17503232	17571356	68124	/btl/eff/sysresTextureTex.efg
56	17401856	17416804	14948	/btl/eff/Tex.b
57	17417216	17503064	85848	/btl/eff/Tex.dat
58	17571840	17574300	2460	/btl/magic/mag.b
59	17574400	19810888	2236488	/btl/magic/mag.dat
60	19811328	19814612	3284	/btl/map/map.b
61	19814912	24602424	4787512	/btl/map/map.dat
62	24602624	24604424	1800	/btl/prm/To9_BattleEventData.bin
63	24604672	24607408	2736	/btl/prm/To9_DialogueData.bin
64	24607744	24613672	5928	/btl/prm/To9_EncountAreaData.dat
65	24613888	24700800	86912	/btl/prm/To9_EncountGroupData.dat
66	24700928	24708536	7608	/btl/prm/To9_EncountTable.dat
67	24708608	24792368	83760	/btl/prm/To9_EnemyData.dat
68	24792576	24797408	4832	/fc/fc.b
69	24797696	26196128	1398432	/fc/fc.dat
70	26196480	26204832	8352	/fc/fcscr.b
71	26205184	26769600	564416	/fc/fcscr.dat
72	26769920	26772792	2872	/item/CTODS3_AccessoryShopData.bin
73	26772992	26775558	2566	/item/CTODS3_CureStoneShopData.bin
74	26776064	26778300	2236	/item/CTODS3_MaterialShopData.bin
75	26778624	26780491	1867	/item/CTODS3_ToolShopData.bin
76	26780672	26796025	15353	/item/TODS9_AccessoryData.dat
77	26796032	26800727	4695	/item/TODS9_GradeShopData.dat
78	26801152	26805439	4287	/item/TODS9_ItemData.dat
79	26805760	26816705	10945	/item/TODS9_MaterialData.dat
80	26817024	26852118	35094	/item/TODS9_SormaData.dat
81	26852352	26860082	7730	/item/TODS9_ValueData.dat
82	26860544	26866468	5924	/item/icon/ItemIcon.b
83	26866688	27267952	401264	/item/icon/ItemIcon.dat
84	27268096	27272679	4583	/m/hsr.bin
85	27272704	27339712	67008	/m/m.b
86	27339776	93258688	65918912	/m/m.dat
87	93943296	93961504	18208	/m/o.b
88	93961728	99956864	5995136	/m/o.dat
89	99957248	100005680	48432	/m/p.b
90	100005888	107619248	7613360	/m/p.dat
91	107619328	107622528	3200	/m/rmp.b
92	107622912	107646640	23728	/m/rmp.dat
93	93291008	93293660	2652	/m/misc/2D/compass.ds3
94	93294080	93294480	400	/m/misc/2D/dnab.ds3
95	93294592	93294992	400	/m/misc/2D/dnar.ds3
96	93295104	93328704	33600	/m/misc/2D/erimg.dat
97	93328896	93395104	66208	/m/misc/2D/fine_1.ds3
98	93395456	93420632	25176	/m/misc/2D/fine_2.dat
99	93421056	93434912	13856	/m/misc/2D/fldm00.dat
100	93435392	93449376	13984	/m/misc/2D/fldm01.dat
101	93258752	93288100	29348	/m/misc/2D/Menu_Event.dat
102	93288448	93290880	2432	/m/misc/2D/Menu_Slot.dat
103	93449728	93474992	25264	/m/misc/2D/sepia_beryl.ds3
104	93475328	93500592	25264	/m/misc/2D/sepia_chalcedony.ds3
105	93500928	93526192	25264	/m/misc/2D/sepia_hisui.ds3
106	93526528	93551792	25264	/m/misc/2D/sepia_innes.ds3
107	93552128	93577392	25264	/m/misc/2D/sepia_kohaku.ds3
108	93577728	93602992	25264	/m/misc/2D/sepia_kunzite.ds3
109	93603328	93628592	25264	/m/misc/2D/sepia_lichia.ds3
110	93628928	93654192	25264	/m/misc/2D/sepia_shing.ds3
111	93654528	93657184	2656	/m/misc/etc/acthelpwin.bin
112	93657600	93660020	2420	/m/misc/etc/charshadow.nsbmd
113	93660160	93695444	35284	/m/misc/etc/eb.ds3
114	93695488	93700368	4880	/m/misc/etc/lc.bin
115	93700608	93713312	12704	/m/misc/etc/mapsteff.bin
116	93713408	93714576	1168	/m/misc/etc/mesiconfc.bin
117	93714944	93718560	3616	/m/misc/etc/meswin.bin
118	93719040	93721212	2172	/m/misc/etc/sring.bin
119	93721600	93740160	18560	/m/misc/etc/sys_sav.bin
120	93740544	93928960	188416	/m/misc/etc/tn.dat
121	93928960	93931504	2544	/m/misc/etc/townNameJewel.ds3
122	93931520	93943040	11520	/m/misc/etc/weather.bin
123	107646976	107672876	25900	/menu/BERYL.dat
124	107673088	107682744	9656	/menu/CHARA_FACE.dat
125	107682816	107708716	25900	/menu/HISUI.dat
126	107708928	107734828	25900	/menu/INNES.dat
127	107735040	107760940	25900	/menu/KOHAKU.dat
128	107761152	107787052	25900	/menu/KOHAKU2.dat
129	107787264	107813164	25900	/menu/KUNZITE.dat
130	107813376	107824508	11132	/menu/Link_BERYL.dat
131	107824640	107835772	11132	/menu/Link_HISUI.dat
132	107835904	107847036	11132	/menu/Link_INNES.dat
133	107847168	107858300	11132	/menu/Link_KOHAKU.dat
134	107858432	107869564	11132	/menu/Link_KOHAKU2.dat
135	107869696	107880828	11132	/menu/Link_KUNZITE.dat
136	107880960	107892092	11132	/menu/Link_SHING.dat
137	107892224	107906372	14148	/menu/MENU_BG.b
138	107906560	108302056	395496	/menu/MENU_BG.dat
139	108302336	108316284	13948	/menu/NAVIMAP_BG.b
140	108316672	109249428	932756	/menu/NAVIMAP_BG.dat
141	109249536	109275436	25900	/menu/SHING.dat
142	109275648	109301548	25900	/menu/STAN.dat
143	109301760	109338928	37168	/menu/WORLDMAP_1.dat
144	109339136	109376304	37168	/menu/WORLDMAP_2.dat
145	109376512	109390140	13628	/menu/monsterbook/EnemyIcon.b
146	109390336	109892724	502388	/menu/monsterbook/EnemyIcon.dat
147	109893120	109893724	604	/menu/spirlink/SpirLinkIcon.b
148	109894144	109939740	45596	/menu/spirlink/SpirLinkIcon.dat
149	135717888	135717938	50	/movie/memo.txt
150	109940224	112952884	3012660	/movie/MOV000_A.mods
151	112953344	114683932	1730588	/movie/MOV000_B.mods
152	114684416	120479324	5794908	/movie/MOV001.mods
153	120479744	123107708	2627964	/movie/MOV002.mods
154	123107840	125268424	2160584	/movie/MOV003.mods
155	125268480	127023480	1755000	/movie/MOV004.mods
156	127023616	128859676	1836060	/movie/MOV005.mods
157	128860160	131808560	2948400	/movie/MOV006.mods
158	131808768	135717636	3908868	/movie/MOV007.mods
159	135718400	135738167	19767	/s/C0101
160	135738368	135763244	24876	/s/C0102
161	135763456	135781114	17658	/s/C0103
162	135781376	135820755	39379	/s/C0104
163	135820800	135848484	27684	/s/C0201
164	135848960	135905573	56613	/s/C0202
165	135905792	135927523	21731	/s/C0204
166	135927808	135951052	23244	/s/C0205
167	135951360	135967769	16409	/s/C0301
168	135968256	135988791	20535	/s/C0302
169	135989248	136010952	21704	/s/C0303
170	136011264	136049080	37816	/s/C0304
171	136049152	136062020	12868	/s/C0401
172	136062464	136067369	4905	/s/C0402
173	136067584	136097039	29455	/s/C0403
174	136097280	136118728	21448	/s/C0404
175	136118784	136135939	17155	/s/C0405
176	136136192	136163924	27732	/s/C0501
177	136164352	136178461	14109	/s/C0502
178	136178688	136210718	32030	/s/C0503
179	136210944	136235734	24790	/s/C0504
180	136236032	136265625	29593	/s/C0601
181	136265728	136290939	25211	/s/C0602
182	136291328	136309487	18159	/s/C0603
183	136309760	136322132	12372	/s/C0604
184	136322560	136338581	16021	/s/C0605
185	136338944	136369211	30267	/s/C0606
186	136369664	136383202	13538	/s/C0701
187	136383488	136426741	43253	/s/C0702
188	136427008	136446188	19180	/s/C0704
189	136446464	136469732	23268	/s/C0705
190	136470016	136476521	6505	/s/C0801
191	136476672	136481278	4606	/s/C0802
192	136481280	136489204	7924	/s/C0803
193	136489472	136527497	38025	/s/C0804
194	136527872	136533714	5842	/s/C0806
195	136534016	136563842	29826	/s/C0901
196	136564224	136596982	32758	/s/C0902
197	136596992	136644615	47623	/s/C0903
198	136645120	136672699	27579	/s/C0904
199	136672768	136708560	35792	/s/C0905
200	136708608	136735471	26863	/s/C0906
201	136735744	136750712	14968	/s/C0907
202	136751104	136776111	25007	/s/C0908
203	136776192	136790144	13952	/s/C1001
204	136790528	136827279	36751	/s/C1002
205	136827392	136848486	21094	/s/C1003
206	136848896	136868111	19215	/s/C1004
207	136868352	136894163	25811	/s/C1005
208	136894464	136915278	20814	/s/C1101
209	136915456	136916751	1295	/s/C1102
210	136916992	136940783	23791	/s/C1103
211	136941056	136975898	34842	/s/C1104
212	136976384	137005538	29154	/s/C1105
213	137005568	137015729	10161	/s/C1106
214	137015808	137058529	42721	/s/C1107
215	137058816	137075721	16905	/s/C1201
216	137076224	137088524	12300	/s/C1202
217	137089024	137100489	11465	/s/C1203
218	137100800	137117837	17037	/s/C1204
219	137118208	137147132	28924	/s/C1205
220	137147392	137156648	9256	/s/C1206
221	137157120	137190139	33019	/s/C1207
222	137190400	137220044	29644	/s/C1208
223	137220096	137252084	31988	/s/C1209
224	137252352	137272105	19753	/s/C1301
225	137272320	137274039	1719	/s/C1302
226	137274368	137318930	44562	/s/C1303
227	137319424	137350001	30577	/s/C1304
228	137350144	137366189	16045	/s/C1305
229	137366528	137398910	32382	/s/C1306
230	137399296	137441712	42416	/s/C1401
231	137441792	137469556	27764	/s/C1402
232	137469952	137487276	17324	/s/C1403
233	137487360	137522990	35630	/s/C1403b
234	137523200	137528496	5296	/s/C1404
235	137528832	137547291	18459	/s/C1405
236	137547776	137553637	5861	/s/C1406
237	137553920	137576336	22416	/s/C1407
238	137576448	137584370	7922	/s/C1408
239	137584640	137597188	12548	/s/C1501
240	137597440	137617313	19873	/s/C1502
241	137617408	137642473	25065	/s/C1503
242	137642496	137672455	29959	/s/C1504
243	137672704	137712245	39541	/s/C1505
244	137712640	137725090	12450	/s/C1506
245	137725440	137756692	31252	/s/C1507
246	137757184	137775286	18102	/s/C1601
247	137775616	137802239	26623	/s/C1602
248	137802240	137820753	18513	/s/C1603
249	137821184	137846947	25763	/s/C1604
250	137847296	137853104	5808	/s/C1605
251	137853440	137887525	34085	/s/C1701
252	137887744	137914913	27169	/s/C1702
253	137915392	137939071	23679	/s/C1703
254	137939456	137948423	8967	/s/C1704
255	137948672	137975148	26476	/s/C1705
256	137975296	137980761	5465	/s/C1706
257	137980928	138003921	22993	/s/C1707
258	138003968	138012578	8610	/s/C1708
259	138012672	138036004	23332	/s/C1709
260	138036224	138051062	14838	/s/C1801
261	138051072	138058084	7012	/s/C1802
262	138058240	138090412	32172	/s/C1803
263	138090496	138095567	5071	/s/C1804
264	138095616	138117497	21881	/s/C1901
265	138117632	138141819	24187	/s/C1902
266	138142208	138176922	34714	/s/C1903
267	138177024	138213039	36015	/s/C1904
268	138213376	138225064	11688	/s/C1905
269	138225152	138248082	22930	/s/C1906
270	138248192	138298001	49809	/s/C2001
271	138298368	138302923	4555	/s/C2002
272	138302976	138330694	27718	/s/C2003
273	138331136	138353302	22166	/s/C2004
274	138353664	138372627	18963	/s/C2005
275	138373120	138421270	48150	/s/C2006
276	138421760	138435379	13619	/s/C2101
277	138435584	138473965	38381	/s/C2102
278	138473984	138501616	27632	/s/C2103
279	138501632	138553773	52141	/s/C2104
280	138553856	138599609	45753	/s/C2105
281	138599936	138636479	36543	/s/C2106
282	138636800	138663977	27177	/s/C2107
283	138664448	138691315	26867	/s/C2201
284	138691584	138713152	21568	/s/C2202
285	138713600	138742989	29389	/s/C2203
286	138743296	138762461	19165	/s/C2204
287	138762752	138780314	17562	/s/C2205
288	138780672	138802112	21440	/s/C2206
289	138802176	138825952	23776	/s/C2207
290	138826240	138864936	38696	/s/C2301
291	138865152	138890561	25409	/s/C2303
292	138890752	138893497	2745	/s/C2304
293	138893824	138918386	24562	/s/C2305
294	138918400	138950973	32573	/s/C2306
295	138951168	138966769	15601	/s/C2307
296	138967040	138992704	25664	/s/C2401
297	138993152	139018206	25054	/s/C2402
298	139018240	139044140	25900	/s/C2403
299	139044352	139067332	22980	/s/C2404
300	139067392	139078415	11023	/s/C2405
301	139078656	139112293	33637	/s/C2405b
302	139112448	139139195	26747	/s/C2406
303	139139584	139152882	13298	/s/C2407
304	139152896	139175901	23005	/s/C2501
305	139175936	139210398	34462	/s/C2502
306	139210752	139225914	15162	/s/C2503
307	139226112	139253031	26919	/s/C2504
308	139253248	139279312	26064	/s/C2505
309	139279360	139307243	27883	/s/C2601
310	139307520	139338361	30841	/s/C2602
311	139338752	139366657	27905	/s/C2603
312	139366912	139407431	40519	/s/C2604
313	139407872	139429225	21353	/s/C2605
314	139429376	139468088	38712	/s/C2701
315	139468288	139509491	41203	/s/C2702
316	139509760	139547759	37999	/s/C2703
317	139548160	139581378	33218	/s/C2704
318	139581440	139603983	22543	/s/C2705
319	139604480	139633821	29341	/s/C2801
320	139634176	139660921	26745	/s/C2802
321	139661312	139692994	31682	/s/C2803
322	139693056	139709729	16673	/s/C2804
323	139709952	139739341	29389	/s/C2805
324	139739648	139788345	48697	/s/C2806
325	139788800	139796292	7492	/s/C2807
326	139796480	139817121	20641	/s/C2901
327	139817472	139824455	6983	/s/C2902
328	139824640	139935177	110537	/s/C2903
329	139935232	139959982	24750	/s/C3001
330	139960320	139967765	7445	/s/C3002
331	139968000	139991113	23113	/s/C3003
332	139991552	140022460	30908	/s/C3004
333	140022784	140043644	20860	/s/C3005
334	140043776	140067962	24186	/s/C3006
335	140068352	140089862	21510	/s/C3101
336	140090368	140116802	26434	/s/C3102
337	140116992	140153808	36816	/s/C3103
338	140153856	140188872	35016	/s/C3104
339	140189184	140213156	23972	/s/C3105
340	140213248	140242579	29331	/s/C3106
341	140242944	140275189	32245	/s/C3107
342	140275200	140300951	25751	/s/C3108
343	140301312	140329265	27953	/s/C3201
344	140329472	140350881	21409	/s/C3202
345	140350976	140361351	10375	/s/C3203
346	140361728	140368105	6377	/s/C3204
347	140368384	140392458	24074	/s/C3205
348	140392960	140412757	19797	/s/C3301
349	140412928	140438852	25924	/s/C3302
350	140439040	140452350	13310	/s/C3303
351	140452352	140470274	17922	/s/C3304
352	140470784	140500230	29446	/s/C3305
353	140500480	140515672	15192	/s/C3401
354	140515840	140527782	11942	/s/C3402
355	140528128	140539355	11227	/s/C3403
356	140539392	140560521	21129	/s/C3404
357	140560896	140585995	25099	/s/C3405
358	140586496	140610824	24328	/s/C3406
359	140611072	140628138	17066	/s/C3407
360	140628480	140653999	25519	/s/C3408
361	140654080	140675713	21633	/s/C3501
362	140676096	140690702	14606	/s/C3502
363	140690944	140754246	63302	/s/C3503
364	140754432	140763920	9488	/s/C3505
365	140764160	140791739	27579	/s/C3506
366	140791808	140819524	27716	/s/C3507
367	140819968	140866494	46526	/s/C3601
